[2023-10-20 19:03:52,876: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-10-20 19:03:53,667: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-10-20 19:03:54,028: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2023-10-20 19:24:15,071: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:25:00,303: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:25:23,436: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:26:22,117: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:29:11,291: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:29:21,996: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:30:03,708: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:35:57,560: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:39:56,057: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:42:58,185: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:43:18,385: INFO: common: yaml file: D:\NephroAIClassifier\config\config.yaml loaded successfully]
[2023-10-20 19:47:57,811: INFO: common: yaml file: D:\NephroAIClassifier\config\config.yaml loaded successfully]
[2023-10-20 19:48:53,560: INFO: common: yaml file: D:\NephroAIClassifier\config\config.yaml loaded successfully]
[2023-10-20 19:48:53,566: INFO: common: yaml file: D:\NephroAIClassifier\params.yaml loaded successfully]
[2023-10-20 19:48:53,571: INFO: common: created directory at: artifacts]
[2023-10-20 19:48:53,575: INFO: common: created directory at: artifacts\training]
[2023-10-20 19:49:51,859: INFO: common: yaml file: D:\NephroAIClassifier\config\config.yaml loaded successfully]
[2023-10-20 19:49:51,866: INFO: common: yaml file: D:\NephroAIClassifier\params.yaml loaded successfully]
[2023-10-20 19:49:51,871: INFO: common: created directory at: artifacts]
[2023-10-20 19:49:51,873: INFO: common: created directory at: artifacts\training]
[2023-10-20 19:53:02,417: INFO: common: yaml file: D:\NephroAIClassifier\config\config.yaml loaded successfully]
[2023-10-20 19:53:02,424: INFO: common: yaml file: D:\NephroAIClassifier\params.yaml loaded successfully]
[2023-10-20 19:53:02,427: INFO: common: created directory at: artifacts]
[2023-10-20 19:53:02,427: INFO: common: created directory at: artifacts\training]
[2023-10-20 22:08:48,759: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-10-20 22:08:48,765: INFO: common: yaml file: D:\NephroAIClassifier\config\config.yaml loaded successfully]
[2023-10-20 22:08:48,765: INFO: common: yaml file: D:\NephroAIClassifier\params.yaml loaded successfully]
[2023-10-20 22:08:48,765: INFO: common: created directory at: artifacts]
[2023-10-20 22:08:48,765: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-20 22:08:48,774: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-20 22:09:05,342: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-20 22:09:07,886: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2023-10-20 22:09:07,886: INFO: main: *******************]
[2023-10-20 22:09:07,889: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2023-10-20 22:09:07,890: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 22:09:07,890: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-20 22:09:07,897: INFO: common: created directory at: artifacts]
[2023-10-20 22:09:07,898: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-10-20 22:09:08,675: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-10-20 22:09:09,010: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2023-10-20 22:09:09,010: INFO: main: *******************]
[2023-10-20 22:09:09,014: INFO: main: >>>>>> stage Training started <<<<<<]
[2023-10-20 22:09:09,017: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-20 22:09:09,022: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-20 22:09:09,022: INFO: common: created directory at: artifacts]
[2023-10-20 22:09:09,022: INFO: common: created directory at: artifacts\training]
[2023-10-20 22:10:05,292: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
